Temperature, Density, Number of particles, Number of time steps, Step size
16,0.2,500,10000,0.005
Average potential energy, Pressure
-5.6888,7.7077
Radial Distribution Function
r, g(r)
21.2,0.023337
21.22,0.023345
21.24,0.023585
21.26,0.023476
21.28,0.023754
21.3,0.023151
21.32,0.02381
21.34,0.023335
21.36,0.023457
21.38,0.023608
21.4,0.023189
21.42,0.023376
21.44,0.023314
21.46,0.023361
21.48,0.023198
21.5,0.023251
21.52,0.022992
21.54,0.023539
21.56,0.022869
21.58,0.02296
21.6,0.023215
21.62,0.02344
21.64,0.023067
21.66,0.023112
21.68,0.023158
21.7,0.022977
21.72,0.023
21.74,0.023131
21.76,0.023076
21.78,0.022831
21.8,0.023095
21.82,0.022723
21.84,0.022966
21.86,0.023009
21.88,0.022817
21.9,0.022747
21.92,0.022823
21.94,0.022634
21.96,0.02271
21.98,0.022885
22,0.022613
22.02,0.022874
22.04,0.023139
22.06,0.022825
22.08,0.022886
22.1,0.022429
22.12,0.022991
22.14,0.022793
22.16,0.02264
22.18,0.022453
22.2,0.022153
22.22,0.022577
22.24,0.022595
22.26,0.022033
22.28,0.022506
22.3,0.022411
22.32,0.022172
22.34,0.02235
22.36,0.022367
22.38,0.022482
22.4,0.022629
22.42,0.022214
22.44,0.022545
22.46,0.02226
22.48,0.022163
22.5,0.02254
22.52,0.022249
22.54,0.02237
22.56,0.022069
22.58,0.022542
22.6,0.022207
22.62,0.021611
22.64,0.02215
22.66,0.021886
22.68,0.022161
22.7,0.021824
22.72,0.022186
22.74,0.022087
22.76,0.021702
22.78,0.022436
22.8,0.022017
22.82,0.021837
22.84,0.021442
22.86,0.021984
22.88,0.021738
22.9,0.021972
22.92,0.021765
22.94,0.021759
22.96,0.021809
22.98,0.021674
23,0.021284
23.02,0.021743
23.04,0.021614
23.06,0.021662
23.08,0.021202
23.1,0.021515
23.12,0.021603
23.14,0.021692
23.16,0.021827
23.18,0.021654
23.2,0.021494
23.22,0.021513
23.24,0.021524
23.26,0.021564
23.28,0.021588
23.3,0.021326
23.32,0.021507
23.34,0.021356
23.36,0.021528
23.38,0.021104
23.4,0.021452
23.42,0.021097
23.44,0.021397
23.46,0.021496
23.48,0.021412
23.5,0.021585
23.52,0.021206
23.54,0.0211
23.56,0.021132
23.58,0.02126
23.6,0.021095
23.62,0.020936
23.64,0.021243
23.66,0.021162
23.68,0.021372
23.7,0.021103
23.72,0.020893
23.74,0.021002
23.76,0.02094
23.78,0.020908
23.8,0.021035
23.82,0.020957
23.84,0.020883
23.86,0.021098
23.88,0.020925
23.9,0.021098
23.92,0.020801
23.94,0.020793
23.96,0.020923
23.98,0.020675
24,0.02105
24.02,0.020907
24.04,0.021
24.06,0.021133
24.08,0.02076
24.1,0.020732
24.12,0.020574
24.14,0.02055
24.16,0.020687
24.18,0.020504
24.2,0.020639
24.22,0.020575
24.24,0.020675
24.26,0.020587
24.28,0.020762
24.3,0.020476
24.32,0.020311
24.34,0.020535
24.36,0.020308
24.38,0.020494
24.4,0.020772
24.42,0.020519
24.44,0.020518
24.46,0.020378
24.48,0.020751
